Exp Date,name,location,Temp,pH,Month,Free_Cl,Cl_Class,ATP,CFU,HPC_fail,Criteria,Type,Culturability,LNA,HNA,ICC_2.5log,ICC_3.0log,ICC_3.5log,ICC_4.0log,ICC_4.5log,ratio,Shannon,Simpson,ICC,2.1 log,2.2 log,2.3 log,2.4 log,2.5 log,2.6 log,2.7 log,2.8 log,2.9 log,3.0 log,3.1 log,3.2 log,3.3 log,3.4 log,3.5 log,3.6 log,3.7 log,3.8 log,3.9 log,4.0 log,4.1 log,4.2 log,4.3 log,4.4 log,4.5 log,4.6 log,4.7 log,4.8 log,4.9 log,5.0 log,% 2.1 log,% 2.2 log,% 2.3 log,% 2.4 log,% 2.5 log,% 2.6 log,% 2.7 log,% 2.8 log,% 2.9 log,% 3.0 log,% 3.1 log,% 3.2 log,% 3.3 log,% 3.4 log,% 3.5 log,% 3.6 log,% 3.7 log,% 3.8 log,% 3.9 log,% 4.0 log,% 4.1 log,% 4.2 log,% 4.3 log,% 4.4 log,% 4.5 log,% 4.6 log,% 4.7 log,% 4.8 log,% 4.9 log,% 5.0 log
2022. 3. 29,B0329 B,B,18.6,7.16,3,0.02,0,15.3,0,0,Pass,Stagnant,0.00%,2556,448,1494,1062,422,22,2,0.175,2.5893,0.915139,3004,466,340,268,208,212,228,176,228,232,198,160,108,90,42,22,10,4,0,2,6,0,0,2,0,0,0,0,0,2,0,16%,11%,9%,7%,7%,8%,6%,8%,8%,7%,5%,4%,3%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 3. 29,B0329 BF,B,12.9,7.23,3,0.15,0.2,15,0,0,Pass,Flushed,0.00%,548,10,474,74,4,0,4,0.018,1.920215,0.815892,558,166,128,86,52,42,32,28,12,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,30%,23%,15%,9%,8%,6%,5%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 3. 29,B0329 C,C,19.6,7.22,3,0.02,0,15.8,0,0,Pass,Stagnant,0.00%,1190,52,810,380,42,10,0,0.044,2.353869,0.888007,1242,254,150,132,136,138,112,82,74,68,44,16,14,10,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,20%,12%,11%,11%,11%,9%,7%,6%,5%,4%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 3. 29,B0329 CF,C,14,7.27,3,0.28,0.3,41.7,0,0,Pass,Flushed,0.00%,1246,78,1012,234,70,4,0,0.063,2.15415,0.828,1324,444,236,128,108,96,56,50,54,34,40,22,20,14,8,6,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,34%,18%,10%,8%,7%,4%,4%,4%,3%,3%,2%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 3. 29,A0329 A,A,27.6,7.42,3,0.05,0.1,13.9,0,0,Pass,Stag+In,0.00%,1912,304,1340,572,276,26,0,0.159,2.510812,0.900262,2216,390,356,266,178,150,164,110,92,114,92,84,84,54,38,16,18,0,4,2,2,0,0,0,0,0,2,0,0,0,0,18%,16%,12%,8%,7%,7%,5%,4%,5%,4%,4%,4%,2%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 3. 29,A0329 AF,A,28,7.57,3,0.15,0.2,9.5,0,0,Pass,Flush+In,0.00%,1640,76,1410,230,68,8,0,0.046,2.038564,0.818371,1716,568,314,230,184,114,74,78,34,32,12,28,8,20,10,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,33%,18%,13%,11%,7%,4%,5%,2%,2%,1%,2%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 3. 29,A0329 B,B,27.6,7.83,3,0.02,0,63.7,7070,1,Fail,Stag+In,32.34%,18436,3424,8990,9446,3100,308,16,0.186,2.652808,0.923017,21860,1798,1762,1714,1750,1966,1998,2056,1966,2048,1378,1098,808,600,336,258,128,92,60,12,16,8,2,0,2,4,0,0,0,0,0,8%,8%,8%,8%,9%,9%,9%,9%,9%,6%,5%,4%,3%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 3. 29,A0329 BF,B,27,7.88,3,0.15,0.2,28.3,0,0,Pass,Flush+In,0.00%,2718,200,1854,864,190,6,4,0.074,2.414159,0.894158,2918,532,426,352,300,244,216,202,184,144,118,80,40,36,20,14,2,2,0,2,0,0,2,0,2,0,0,0,0,0,0,18%,15%,12%,10%,8%,7%,7%,6%,5%,4%,3%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 3. 29,A0329 C,C,26.6,7.88,3,0.02,0,28.4,0,0,Pass,Stag+In,0.00%,12426,3488,4812,7614,3098,358,26,0.281,2.697535,0.925188,15914,1020,866,788,910,1228,1490,1446,1542,1672,1464,1128,890,608,286,186,138,86,88,32,14,6,8,2,4,6,4,0,0,2,0,6%,5%,5%,6%,8%,9%,9%,10%,11%,9%,7%,6%,4%,2%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 3. 29,A0329 CF,C,27,7.9,3,0.28,0.3,11.5,0,0,Pass,Flush+In,0.00%,968,32,798,170,24,8,0,0.033,2.033317,0.814943,1000,334,198,132,88,46,70,36,22,28,14,4,8,2,8,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,33%,20%,13%,9%,5%,7%,4%,2%,3%,1%,0%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
