Exp Date,location,Type,Temp,pH,Month,Free_Cl,Cl_Class,ATP,CFU,HPC_fail,Criteria,Culturability,LNA,HNA,ratio,ICC
2022. 4. 26,E,Flushed,,,4,0.16,0.2,24,0,0,Pass,0.00%,1770,46,0.026,1816
2022. 4. 26,H,Stagnant,,,4,0.04,0,17.6,87.5,0,Pass,6.63%,1212,108,0.089,1320
2022. 4. 26,H,Flushed,,,4,0.44,0.4,21.3,0,0,Pass,0.00%,614,32,0.052,646
2022. 4. 29,B,Stagnant,,,4,0.01,0,21.3,775,1,Fail,4.17%,13796,4806,0.348,18602
2022. 4. 29,B,Flushed,,,4,0.15,0.2,10.5,0,0,Pass,0.00%,856,120,0.14,976
2022. 4. 29,C,Stagnant,,,4,0.02,0,35.7,0,0,Pass,0.00%,10490,1150,0.11,11640
2022. 4. 29,C,Flushed,,,4,0.31,0.3,10.1,0,0,Pass,0.00%,572,28,0.049,600
2022. 4. 29,D,Stagnant,,,4,0.01,0,12.5,15,0,Pass,0.74%,1856,172,0.093,2028
2022. 4. 29,D,Flushed,,,4,0.28,0.3,12.3,0,0,Pass,0.00%,616,30,0.049,646
2022. 4. 29,G,Stagnant,,,4,0.02,0,6.2,0,0,Pass,0.00%,1428,146,0.102,1574
2022. 4. 29,G,Flushed,,,4,0.26,0.3,16.9,0,0,Pass,0.00%,802,38,0.047,840
2022. 4. 29,F,Stagnant,,,4,0.03,0,8.2,17,0,Pass,1.20%,1364,52,0.038,1416
2022. 4. 29,F,Flushed,,,4,0.25,0.3,10.8,0,0,Pass,0.00%,1068,62,0.058,1130
2022. 4. 29,H,Stagnant,,,4,0.03,0,11.2,0,0,Pass,0.00%,1636,116,0.071,1752
2022. 4. 29,H,Flushed,,,4,0.44,0.4,5.7,0,0,Pass,0.00%,578,34,0.059,612
2022. 5.3,B,Stag+In,,,4,0,0,98.5,618,1,Fail,2.78%,15422,6794,0.441,22216
2022. 5.3,C,Stag+In,,,4,0,0,72.3,38,0,Pass,0.23%,14354,2510,0.175,16864
2022. 5.3,D,Stag+In,,,4,0,0,66.5,25,0,Pass,0.18%,12324,1552,0.126,13876
2022. 5.3,G,Stag+In,,,4,0,0,83.1,0,0,Pass,0.00%,7908,1340,0.169,9248
2022. 5.3,F,Stag+In,,,4,0,0,196.3,11526,1,Fail,26.81%,33560,9438,0.281,42998
2022. 5.3,H,Stag+In,,,4,0,0,219.5,955,1,Fail,2.29%,26118,15652,0.599,41770
2022. 5.3,B,Stagnant,,,5,0.01,0,43.2,690,1,Fail,2.33%,18686,10928,0.585,29614
2022. 5.3,B,Flushed,,,5,0.16,0.2,20.8,0,0,Pass,0.00%,1322,318,0.241,1640
2022. 5.3,B,Stagnant,,,5,0,0,48.1,60,0,Pass,0.15%,33300,7614,0.229,40914
2022. 5.3,B,Flushed,,,5,0,0,22.9,58,0,Pass,0.39%,11274,3714,0.329,14988
2022. 5.3,C,Stagnant,,,5,0,0,163.7,363,1,Fail,0.77%,34738,12254,0.353,46992
2022. 5.3,C,Flushed,,,5,0.25,0.3,8.7,0,0,Pass,0.00%,466,86,0.185,552
2022. 5.3,G,Stagnant,,,5,0.01,0,10.4,0,0,Pass,0.00%,1808,320,0.177,2128
2022. 5.3,G,Flushed,,,5,0.3,0.3,17.6,0,0,Pass,0.00%,996,104,0.104,1100
2022. 5.3,F,Stagnant,,,5,0,0,20.2,0,0,Pass,0.00%,1152,44,0.038,1196
2022. 5.3,F,Flushed,,,5,0.22,0.2,15.8,0,0,Pass,0.00%,346,10,0.029,356
2022. 5.3,H,Flushed,,,5,0.2,0.2,11.4,0,0,Pass,0.00%,234,18,0.077,252
2022. 5.6,B,Stag+In,,,5,0,0,73.7,7861,1,Fail,22.61%,28338,6434,0.227,34772
2022. 5.6,B,Stag+In,,,5,0,0,39,1495,1,Fail,4.81%,24216,6836,0.282,31052
2022. 5.6,C,Stag+In,,,5,0,0,72.2,138,1,Fail,0.66%,15828,5062,0.32,20890
2022. 5.6,G,Stag+In,,,5,0,0,27.8,25,0,Pass,0.21%,9380,2302,0.245,11682
2022. 5.6,F,Stag+In,,,5,0,0,96.4,10266,1,Fail,43.94%,1724,21642,12.553,23366
2022. 5.6,B,Stagnant,,,5,0.01,0,45.8,4060,1,Fail,13.46%,29596,568,0.019,30164
2022. 5.6,B,Flushed,,,5,0.14,0.1,12.4,0,0,Pass,0.00%,786,418,0.532,1204
2022. 5.6,C,Stagnant,,,5,0.02,0,155.2,150,1,Fail,0.24%,37764,24954,0.661,62718
2022. 5.6,C,Flushed,,,5,0.25,0.3,15.1,0,0,Pass,0.00%,642,166,0.259,808
2022. 5.6,E,Stagnant,,,5,0.01,0,17.5,75,0,Pass,3.52%,1938,190,0.098,2128
2022. 5.6,E,Flushed,,,5,0.23,0.2,30.7,0,0,Pass,0.00%,398,18,0.045,416
2022. 5.6,G,Stagnant,,,5,0.01,0,22.8,0,0,Pass,0.00%,2846,2302,0.809,5148
2022. 5.6,G,Flushed,,,5,0.23,0.2,17.7,0,0,Pass,0.00%,516,66,0.128,582
2022. 5.6,F,Stagnant,,,5,0.02,0,14.6,20,0,Pass,1.95%,894,134,0.15,1028
2022. 5.6,F,Flushed,,,5,0.16,0.2,17.4,0,0,Pass,0.00%,420,10,0.024,430
2022. 5.6,H,Stagnant,,,5,0,0,23.4,0,0,Pass,0.00%,1668,76,0.046,1744
2022. 5.6,H,Flushed,,,5,0.33,0.3,9.7,0,0,Pass,0.00%,338,12,0.036,350
2022. 5.6,D,Stagnant,,,5,0,0,14.5,0,0,Pass,0.00%,1306,76,0.058,1382
2022. 5.6,D,Flushed,,,5,0.22,0.2,24.2,0,0,Pass,0.00%,502,40,0.08,542
2022. 5.13,B,Stagnant,,,5,0,0,54.3,255,1,Fail,1.02%,21100,3948,0.187,25048
2022. 5.13,B,Flushed,,,5,0.17,0.2,19.3,0,0,Pass,0.00%,1852,438,0.237,2290
2022. 5.13,C,Stagnant,,,5,0,0,130.8,4788,1,Fail,8.80%,48336,6088,0.126,54424
2022. 5.13,C,Flushed,,,5,0.28,0.3,21.2,0,0,Pass,0.00%,1160,132,0.114,1292
2022. 5.13,C,Flushed,,,5,0.19,0.2,26,0,0,Pass,0.00%,19338,846,0.044,20184
2022. 5.13,E,Stagnant,,,5,0,0,74.1,23,0,Pass,0.11%,17370,4324,0.249,21694
